Mail,Review
"Jaques,

After meeting with George and Larry, it was clear that we have different 
definitions of cost and profit.  Their version includes the salary of a 
superintendent and a junior superintendent as hard costs equivalent to third
party subs and materials.  Then there is a layer of """"construction management""""
fees of 10%.  There are some small incidental cost that they listed would be
paid out of this money.  But I think the majority of it is profit.  Finally
the builders profit of 1.4 million.

Keith and I were not sure whether we would be open to paying the supers out
of the cost or having them be paid out of the builders profit.  After all, if 
they are the builders why does there need to be two additional supervisors?
We were definitely not intending to insert an additional 10% fee in addition
to the superintendent costs.  George claims that all of these costs have been
in the cost estimates that we have been using.  I reviewed the estimates and
the superintendents are listed but I don't think the construction management
fee is included.

George gave me some contracts that show how these fees are standard.  I will
review and let you know what I think.

The GP issues don't seem to be a point of contention.  They are agreeable to
the 3 out 4 approval process.

Let me know if you have opinions or sources that I can use to push for  only
true costs + 1.4 million.

Phillip",FALSE
"Phillip,
 Below is the issues & to do list as we go forward with documenting the 
requirements for consolidated physical/financial positions and transport 
trade capture. What we need to focus on is the first bullet in Allan's list; 
the need for a single set of requirements. Although the meeting with Keith,
on Wednesday,  was informative the solution of creating a infinitely dynamic
consolidated position screen, will be extremely difficult and time
consuming.  Throughout the meeting on Wednesday, Keith alluded to the
inability to get consensus amongst the traders on the presentation of the 
consolidated position, so the solution was to make it so that a trader can
arrange the position screen to their liking (much like Excel). What needs to 
happen on Monday from 3 - 5 is a effort to design a desired layout for the 
consolidated position screen, this is critical. This does not exclude 
building a capability to create a more flexible position presentation for the
future, but in order to create a plan that can be measured we need firm 
requirements. Also, to reiterate that the goals of this project is a project
plan on consolidate physical/financial positions and transport trade capture.
The other issues that have been raised will be capture as projects on to
themselves, and will need to be prioritised as efforts outside of this
project.

I have been involved in most of the meetings and the discussions have been
good. I believe there has been good communication between the teams, but now
we need to have focus on the objectives we set out to solve.",FALSE
"From our initial set of meetings with the traders regarding consolidated
positions, I think we still have the following issues:
We don't have a single point of contact from the trading group.  We've had
three meetings which brought out very different issues from different
traders.  We really need a single point of contact to help drive the trader
requirements and help come to a consensus regarding the requirements.
We're getting hit with a lot of different requests, many of which appear to
be outside the scope of position consolidation.

Things left to do:
I think it may be useful to try to formulate a high level project goal to
make it as clear as possible what we're trying to accomplish with this
project.  It'll help determine which requests fall under the project scope.
Go through the list of requests to determine which are in scope for this
project and which fall out of scope.
For those in scope, work to define relative importance (priority) of each and
work with traders to define the exact requirements of each.
Define the desired lay out of the position manager screen: main view and all
drill downs.
Use the above to formulate a project plan.

Things requested thus far (no particular order):
Inclusion of Sitara physical deals into the TDS position manager and deal
ticker.
Customized rows and columns in the position manager (ad hoc rows/columns that
add up existing position manager rows/columns).
New drill down in the position manager to break out positions by: physical,
transport, swaps, options, ...
Addition of a curve tab to the position manager to show the real-time values of all curves on which the desk has a position.
Ability to split the current position grid to allow daily positions to be
shown directly above monthly positions.  Each grouped column in the top grid
would be tied to a grouped column in the bottom grid.
Ability to properly show curve shift for float-for-float deals; determine the
appropriate positions to show for each:
Gas Daily for monthly index,
Physical gas for Nymex,
Physical gas for Inside Ferc,
Physical gas for Mid market.
Ability for TDS to pull valuation results based on a TDS flag instead of
using official valuations.
Position and P&L aggregation across all gas desks.
Ability to include the Gas Price book into TDS:
Inclusion of spread options in our systems.  Ability to handle volatility
skew and correlations.
Ability to revalue all options incrementally throughout the trading day.
Approximate delta changes between valuations using instantaneous gamma or a
gamma grid.
Valuation of Gas Daily options.
A new position screen for options (months x strike x delta).  TBD.
Inclusion of positions for exotic options currently managed in spreadsheets.
Ability to isolate the position change due to changed deals in the position
manager.
Ability to view change deal P&L in the TDS deal ticker.  Show new deal terms,
prior deal terms, and net P&L affect of the change.
Eliminate change deals with no economic impact from the TDS deal ticker.
Position drill down in the position manager to isolate the impact of
individual deals on the position total in a grid cell.
Benchmark positions in TDS.
Deployment of TDS in Canada. Currency and volume uom conversions. Implicit
and explicit position break out issues. -- Allan.

PS: Colleen is setting up a meeting tomorrow to discuss the direction for
transport.  Hopefully we'll know much better where that part stands at that
point.",TRUE
"This meeting has been moved to 4:00 on Wed. in room 2601.  I have sent a 
confirmation to each of you via Lotus Notes.  Sorry for all of the changes
but there was a scheduling problem with a couple of people for the original
time slot.",TRUE
"Suzanne,               

 Can you give me more details or email  the plan prior to meeting?  What do I
need to provide besides headcount?
 Otherwise any afternoon next week would be fine",TRUE
"This is a reminder !!!!!  There will be a Friday Meeting August 18, 2000.
This meeting replaces the every Friday Meeting and will be held every other
Friday.",TRUE
"This is to confirm a meeting for tomorrow, Tuesday, July 11 at 2:00 pm.  
Please reference the meeting as Systems Meeting and also note that there will
be a follow up meeting.   The meeting will be held in EB3321.

Call Kim Hillis at x30681 if you have any questions.",TRUE
"A video conference is being organized to enable broad participation from the
London office and a teleconference will be set up for others who would like
to call in.

The primary objectives of the session are to 1) provide you with the latest
information on emissions regulation, markets, and Enron's advocacy efforts
worldwide and 2) receive feedback on your commercial interests and input on
policy options so that we may develop the best business and policy strategies
for Enron in both the short and long term.  We invite you or a member of your
group to participate in this important strategic discussion.

Please RSVP as soon as possible and let us know if you plan to participate in
person, via teleconference or via video conference from the London office.

An agenda is forthcoming.  If you have any questions or suggestions in
advance of the meeting, please do not hesitate to contact me or Jeff Keeler.

We look forward to your participation.

Lisa Jacobson",TRUE
"Johnnie,      

Thank you for meeting with me on Friday.  I left feeling very optimistic
about the panel system.  I would like to find a way to incorporate the panels
into the home design I showed you.  In order to make it feasible within my
budget I am sure it will take several iterations.  The prospect of purchasing
the panels and having your  framers install them may have to be considered.
However, my first choice would be for you to be the general contractor.

I realize you receive a number of calls just seeking information about this
product with very little probability of a sale.  I just want to assure you
that I am going to build this house in the fall and I would seriously
consider using the panel system if it truly was only a slight increase in
cost over stick built.

Please email your cost estimates when complete.

Thank you,",FALSE
"Fred/Phillip/Scott:  We are having a happy hour at Sambuca this Thursday,  
please be our guests and invite anyone on your desks that would be interested
in meeting some of the new gas desk team. ",FALSE
"Don,

I was out last week.  Regarding the Montana supply, you can refer them to  
Mark Whitt in Denver.

Let me know when you want to have the other meeting.

Also, we frequently give out quotes to mid-marketers on Fred LaGrasta's desk
or Enron marketers in New York where the customer is EES.  I don't understand
why your people don't contact the desk directly.",FALSE
"Phillip and Keith, this cold of mine is getting the better of me.  Would it
be possible to reschedule our meeting for tomorrow?  If so, please reply to
this e-mail with a time.  I am open all day, but just need to get some rest
this afternoon.

George W. Richards
Creekside Builders, LLC",TRUE
I would like to go to this meeting.  Can you arrange it?,TRUE
"This meeting has been moved to 4:00 on Wed. in room 2601.  I have sent a 
confirmation to each of you via Lotus Notes.  Sorry for all of the changes
but there was a scheduling problem with a couple of people for the original
time slot.",TRUE
"There will be a meeting on Tuesday, Oct. 10th at 4:00pm in EB3270 regarding
Storage Strategies in the West.  Please mark your calendars.

Thank you!",TRUE
"Colleen is setting up a meeting tomorrow to discuss the direction for
transport.  Hopefully we'll know much better where that part stands at that
point.",FALSE
"Mr. Allen -

Per our phone conversation, please see the instructions below to get access
to view FERC meetings.  Please advise if there are any problems, questions or
concerns. ",FALSE
"Phillip
Good Morning! I hope you had a wonderful Thanksgiving with your family and safe travels.

As per our meeting on Tuesday, please identify people you think will be good for the expert story roles. You can provide me a list and either contact them first or provide me with an introduction to get their commitment. Thanks a million in advance for your continued support of this project.",FALSE
"Kirk -

I have combined all of the storyline scripts (Intro and Scenarios 1-7) for
you to send to Legal for their review. Your comments were incorporated in
the scripts for scenarios 1 and 2.  We decided to refer to the company as
both Energy Incorporated and Energy Inc. rather than using E.I. so that
there is no confusion with Enron International. We will not have a coach
exit for scenario 5 until EOD tomorrow after the Ed meeting.  In reference
to your concern over """"locking in a price"""" as collusion, those were
Phillip's words but we hope Legal will decide if we need to change them.

Please let me know if you have any questions.",FALSE
"Phillip,

Ina scheduled the conference room for tomorrow, so she's probably already
got it on your schedule, but FYI - our meeting will be in the new Enron
building, Room 6104.
 
See you at 10:00.
Mery",TRUE
"Phillip,

Thank you for meeting with us today. I want to take a few minutes to
summarize the decisions that came out of our meeting.
 
1. Feedback Approach: We will incorporate the ideas and suggestions you
gave us and move forward with this approach.

2. SME Review of Knowledge System Topics: When the time comes for Topics
reviews, we will send you the name of the SME who is responsible for
sign-off on each topic.

3. Conversion and Arbitrage Problems: We will brainstorm ways to
incorporate more problems without going over our 4-6 hour target. We will
meet with you next Tuesday at 10:00 to review the problems as we've
designed them so far and arrive at a solution. (I will send an e-mail
Monday with the room number.)

Have a good weekend.
Mery",FALSE
"Phillip,

I will get a room for our Wednesday 10:00 meeting and e-mail you with the
room number. FYI, our goal is to discuss the expert path (best answers) for
the storage problem and to ask you some specific questions regarding
storage.

Also, if you have time, could you send me a definition of Intra-Month Risk?

Thank you for your help.
Mery",TRUE
"Phillip:

I have a meeting tomorrow morning with the Oregon PUC staff to discuss a
number of pricing and supply issues.  Can I use the information attached to
your e-mail in the meeting with staff? Can you please join aswell?

Paul",TRUE
"John,

Two items:

1.  I spoke to John McKay about Sumas.  His views seem well thought out.  He is short the summer due to the prospect of another 200,000+/day of supply coming back by July 1st.  See attached spreadsheet.  In order to displace Aeco gas coming down to Kingsgate his target for Sumas value is AECO -0.10.  But since his forecast for Aeco is that they will have 30 BCF left in storage at the end of March and current cash is trading down 0.70 or wider versus a rest of summer curve around down 0.50, he is expecting the AECO curve to widen to down 0.85.  Therefore, his ultimate target for Sumas is down 0.95 versus the current market of down 0.40 
        His winter Sumas shorts are based on his analysis of total supply capacity versus peak demand. See attached spreadsheet.  Sumas still commands the premium of an isolated market during the winter but the supply numbers don't  support that premium.
        In conclusion, I think I will sell some more summer sumas for my book.


 
2.  I will stay after the meeting to talk about Mike G's issues.",TRUE
"Ina,

Can you get a conference room on 32 for this meeting on Wednesday and let Becky Cantrell know.

thank you",TRUE
"El Paso Corporation is committed to meeting energy needs throughout North America and the world with operations that span the energy value chain from wellhead to electron. The company is focused on speeding the development of new technologies, such as clean coal and liquefied natural gas, to address critical energy shortages across the globe. Visit El Paso at www.elpaso.com <http://www.elpaso.com>.",FALSE
"Hunter, Scott, Tom & Barry,
We have been meeting with the Ocean Energy, Inc. (""""OEI"""") management team over the last several months discussing the asset management of OEI's gas, as well as  Enron's ability to provide additional Producer Services (including the operations of certain pipeline facilities, outsourcing services and Enron systems outsourcing). We are moving forward with the project and have divided it into two phases. Phase 1: will be the purchase of OEI's natural gas in North America, both operated and non-operated properties, and Phase 2: will evaluate the opportunity to provide OEI additional services.
For Phase 1, OEI is soliciting bids for their North American supply for the period beginning on October 1, 2000 through September 30, 2002. Bids on this gas are due August 15, 2001, with expected daily production for the bid cycle to exceed 450,000 MCF/d of natural gas. The gas is currently under contract to Duke Energy  until September 30, 2001.
Phase 2 will follow a parallel path. We are continuing to have meetings with OEI to discuss our Producer One product as well as evaluating OEI's Havre Pipeline system in Montana for a pipeline outsourcing opportunity.
OEI is one of the largest independent oil and gas exploration and production companies in the United States with proved reserves of 460 million barrels of oil equivalent. North American operations are focused in the shelf and deepwater areas of the Gulf of Mexico, South and East Texas, and the Mid-continent, Permian Basin and Rocky Mountain regions.
In the Gulf of Mexico, OEI has interests in more than 300 Gulf of Mexico blocks, including 83 in the deepwater. They plan to spend $300 to $350 million in 2001 to grow its reserve base through delineation of recent discoveries and additional deepwater exploration.  Ocean's deepwater expenditures will include continued development of its commercial discoveries, including the Nansen and Boomvang projects in the East Breaks area and the Magnolia discovery on Garden Banks Block 783. They will continue to be aggressive in the drilling of its inventory of core shelf holdings.
The North America Onshore division of Ocean Energy is organized into five operating regions: the Rocky Mountains, Permian Basin, Arklatex, Anadarko and East Texas. In 2001, Ocean Energy plans to grow production and reserves from its long-life assets while increasing its number of high-potential exploration prospects in core areas, including the Bossier Play in East Texas and the Permian Basin.
This opportunity will provide gas across North America for Enron with the majority of the gas supply located in the GOM. Once we complete our due diligence on the properties, we will be working with structuring, the wellhead desk and each of the respective desks to request  bids for each of the gas packages.
The attached file will give you an idea of the location and volume of the gas available in Phase 1. Also included on the spreadsheet is a pricing reference point for each package. If you have any questions regarding this opportunity, please contact me at X-36784.",FALSE
"PLEASE MARK YOUR CALENDAR
Date:                   Every Thursday
Time:                   7:30 am Pacific, 9:30 am Central, and 10:30 am Eastern time
 Number:                1-888-271-0949
 Host Code:             661877 (for Ray only)
 Participant Code:      936022 (for everyone else)

The table of the on-going FERC issues and proceedings is available to all team members on the O drive. Please feel free to revise/add to/ update this table as appropriate.

Proposed agenda for tomorrow:

Refund order discussed at today's Commission meeting; CA refund issues; PacNW refund issues
NOPR on information and filing requirements discussed at today's Commission meeting
Answer to motions of CA parties
ISO tariff filing response
Upcoming meeting in Portland 

Please feel free to communicate any additional agenda items to the group.",TRUE
"John,

I am going to miss the meeting with Vladi about Z6 and weather hedges.  I have been planning to be on vacation on August 1st -August 3rd and we are driving this afternoon before the kids get too cranky. 

I went over the analysis with Vladi.  It still seems that the bias of the weather products towards an above normal winter and the averaging vs event nature of the weather options keep them from being an effective hedge for Z6.

See you on Monday.",FALSE
"David,  Please attend the meetings below.  Of course you will have to sign a non-compete, non-solicitation agreement for the """"PRC"""" video.  

Regards, Mrha
 -----Original Message-----
From:   Jones, Melissa  
Sent:   Thursday, August 09, 2001 12:57 PM
To:     Allen, Phillip K.; Keel, Allan; Lagrasta, Fred; Tricoli, Carl; Mrha, Jean; Miller, Don
Cc:     Collins, Angie
Subject:        Management Offsite Video Meetings
Importance:     High 

Please plan to attend the above referenced meeting.  Details as follows:

        Date:           Friday, August 10th
        Time:           3:00 - 5:00 PM 
        Location:       EB 3567
        Subject:        Management Offsite Pre-Filming Meeting
        Invitees:               Jean Mrha
                        Phillip Allen
                        Allan Keel
                        Fred Lagrasta
                        Carl Tricoli
                        Don Miller

        Date:           Monday, August 13th",TRUE
"Dinner will be provided for the meeting on Monday at 6 pm.  Jean is thinking of ordering pizza from Birra Poretti's.  If anyone has any other recommendations please let me know.  Notes from yesterday's meeting will be forwarded shortly.

If you have any questions, please give me a call at x37960.

Regards,
Melissa Jones",TRUE
